reporting_period,sales_team,region,leads_received,deals_completed,conversion_rate_pct,actual_revenue,target_revenue,sales_operating_cost,sales_fte
2025-01,Enterprise Tech,Global,164,35,21.8,837673,450000,77899,9.4
2025-02,Enterprise Tech,Global,187,43,23.2,968059,450000,71729,8.9
2025-03,Enterprise Tech,Global,135,30,22.9,640148,450000,74594,9.0
2025-04,Enterprise Tech,Global,174,31,18.0,851763,450000,77727,9.4
2025-05,Enterprise Tech,Global,180,42,23.6,1167297,450000,57963,6.4
2025-06,Enterprise Tech,Global,172,20,12.2,519449,450000,64139,7.6
2025-07,Enterprise Tech,Global,227,41,18.3,1156022,450000,76687,9.8
2025-08,Enterprise Tech,Global,149,33,22.5,886787,450000,72806,8.7
2025-09,Enterprise Tech,Global,162,31,19.7,774180,450000,58550,6.4
2025-10,Enterprise Tech,Global,176,23,13.6,603492,450000,61972,7.4
2025-11,Enterprise Tech,Global,169,39,23.5,998847,450000,69307,8.5
2025-12,Enterprise Tech,Global,185,47,25.8,970820,450000,53135,6.3
2025-01,Mid-Market EMEA,EMEA,163,21,13.2,337687,280000,76071,9.3
2025-02,Mid-Market EMEA,EMEA,216,53,24.7,632976,280000,63044,7.7
2025-03,Mid-Market EMEA,EMEA,162,22,13.7,260819,280000,54645,6.0
2025-04,Mid-Market EMEA,EMEA,159,32,20.2,373559,280000,74303,9.0
2025-05,Mid-Market EMEA,EMEA,171,43,25.5,575040,280000,61598,7.1
2025-06,Mid-Market EMEA,EMEA,180,35,19.8,422573,280000,56945,6.3
2025-07,Mid-Market EMEA,EMEA,169,35,20.8,615296,280000,71994,8.5
2025-08,Mid-Market EMEA,EMEA,184,29,15.9,538512,280000,53683,6.2
2025-09,Mid-Market EMEA,EMEA,176,29,16.9,230109,280000,59631,7.1
2025-10,Mid-Market EMEA,EMEA,183,47,25.8,612187,280000,83102,9.9
2025-11,Mid-Market EMEA,EMEA,194,27,14.3,402612,280000,59159,7.2
2025-12,Mid-Market EMEA,EMEA,225,54,24.1,839069,280000,77111,9.7
2025-01,Commercial APAC,APAC,187,32,17.3,278654,280000,79120,9.9
2025-02,Commercial APAC,APAC,210,33,15.8,396519,280000,65143,7.7
2025-03,Commercial APAC,APAC,172,23,13.8,165660,280000,74390,9.1
2025-04,Commercial APAC,APAC,192,41,21.4,303303,280000,62405,6.9
2025-05,Commercial APAC,APAC,186,42,22.8,761972,280000,59608,6.5
2025-06,Commercial APAC,APAC,181,36,19.9,405111,280000,70243,8.2
2025-07,Commercial APAC,APAC,217,32,15.0,468271,280000,59366,6.5
2025-08,Commercial APAC,APAC,136,24,18.1,268602,280000,65835,7.6
2025-09,Commercial APAC,APAC,167,34,20.7,544113,280000,64243,8.1
2025-10,Commercial APAC,APAC,178,45,25.7,260895,280000,65521,7.8
2025-11,Commercial APAC,APAC,176,24,13.8,282578,280000,70983,8.5
2025-12,Commercial APAC,APAC,156,26,16.8,307111,280000,60460,6.7
2025-01,Public Sector UK,UK,168,21,12.6,222032,280000,70489,8.7
2025-02,Public Sector UK,UK,160,21,13.2,245257,280000,56479,6.7
2025-03,Public Sector UK,UK,181,39,21.7,200912,280000,57800,6.8
2025-04,Public Sector UK,UK,185,46,24.9,536498,280000,76308,9.5
2025-05,Public Sector UK,UK,161,23,14.9,315985,280000,74249,9.2
2025-06,Public Sector UK,UK,122,20,17.2,338698,280000,69751,8.5
2025-07,Public Sector UK,UK,201,49,24.5,442773,280000,60807,6.1
2025-08,Public Sector UK,UK,207,37,18.3,265684,280000,57006,6.4
2025-09,Public Sector UK,UK,175,28,16.5,331985,280000,59856,7.1
2025-10,Public Sector UK,UK,152,37,24.5,631272,280000,59013,6.5
2025-11,Public Sector UK,UK,158,30,19.5,359703,280000,77846,9.2
2025-12,Public Sector UK,UK,193,26,13.8,243701,280000,62284,7.7
